City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Mataura,-46.1927,168.8643,45.48,98,97,9.51,NZ,2022-09-13 02:49:39
53,Kalmunai,7.4167,81.8167,82.33,72,94,3.33,LK,2022-09-13 02:49:39
54,Zhigansk,66.7697,123.3711,41.74,95,100,11.45,RU,2022-09-13 02:49:40
55,Katobu,-4.9408,122.5276,88.77,49,43,9.98,ID,2022-09-13 02:49:40
56,Pampierstad,-27.7832,24.6877,41.27,33,0,5.46,ZA,2022-09-13 02:49:40
57,Puerto Ayora,-0.7393,-90.3518,65.55,96,97,9.8,EC,2022-09-13 02:49:41
58,Waiouru,-39.4833,175.6667,42.87,97,93,10.22,NZ,2022-09-13 02:49:41
59,Arraial Do Cabo,-22.9661,-42.0278,68.04,89,100,17.43,BR,2022-09-13 02:49:41
60,Kirovskiy,45.0917,133.5136,64.18,57,12,11.16,RU,2022-09-13 02:49:42
61,Ponta Do Sol,32.6667,-17.1,72.72,82,96,9.1,PT,2022-09-13 02:49:42
62,Geraldton,-28.7667,114.6,64.81,68,75,26.46,AU,2022-09-13 02:49:42
63,Sorong,-0.8833,131.25,84.76,67,61,7.09,ID,2022-09-13 02:49:43
64,San Lawrenz,36.0553,14.204,75.85,79,0,1.25,MT,2022-09-13 02:49:43
65,Tasiilaq,65.6145,-37.6368,46.56,82,100,10.54,GL,2022-09-13 02:49:43
66,Georgetown,5.4112,100.3354,86.9,78,20,6.91,MY,2022-09-13 02:45:37
67,Bredasdorp,-34.5322,20.0403,47.03,87,13,6.31,ZA,2022-09-13 02:49:44
68,Whitecourt,54.1502,-115.6855,60.04,44,75,9.22,CA,2022-09-13 02:49:44
69,Vardo,70.3705,31.1107,40.98,93,100,2.3,NO,2022-09-13 02:49:44
70,Coquimbo,-29.9533,-71.3436,55.13,82,100,4.61,CL,2022-09-13 02:49:45
71,Tuatapere,-46.1333,167.6833,40.91,89,100,17.25,NZ,2022-09-13 02:49:45
72,Te Anau,-45.4167,167.7167,42.78,83,94,5.82,NZ,2022-09-13 02:49:45
73,Burgeo,47.6167,-57.6152,61.48,86,47,15.14,CA,2022-09-13 02:49:46
74,Saint-Philippe,-21.3585,55.7679,63.99,73,46,7.81,RE,2022-09-13 02:49:46
75,Galveston,29.3669,-94.9669,84.31,71,0,3.44,US,2022-09-13 02:49:46
76,Iberia,29.9502,-91.7507,75.27,78,0,5.75,US,2022-09-13 02:47:14
77,Kodiak,57.79,-152.4072,60.31,55,0,10.36,US,2022-09-13 02:49:47
78,Cape Town,-33.9258,18.4232,57.9,81,0,7.0,ZA,2022-09-13 02:47:40
79,San Juan,-31.5375,-68.5364,60.75,20,13,5.75,AR,2022-09-13 02:49:47
80,Sayyan,15.1718,44.3244,65.1,45,82,1.72,YE,2022-09-13 02:49:47
